sdf_number,annalog,protonated,isomers,docking_energy,cluster
12,c1cc2nc(N(C)[C@]34C[C@H]5C[C@H](C[C@H](C5=O)C3)[C@@H]4C(=O)OCC)ccc2s1,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(C)c1ccc4sccc4n1)C[C@H](C2)C3=O,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(C)c1ccc4sccc4n1)C[C@H](C2)C3=O,-9.297,14
13,Brc1cc2nc(N(C)[C@]34C[C@H]5C[C@H](C[C@H](C5=O)C3)[C@@H]4C(=O)OCC)ccc2s1,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(C)c1ccc4sc(Br)cc4n1)C[C@H](C2)C3=O,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(C)c1ccc4sc(Br)cc4n1)C[C@H](C2)C3=O,-9.779,14
14,Cc1nc2nc(N(C)[C@]34C[C@H]5C[C@H](C[C@H](C5=O)C3)[C@@H]4C(=O)OCC)ccc2s1,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(C)c1ccc4sc(C)nc4n1)C[C@H](C2)C3=O,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(C)c1ccc4sc(C)nc4n1)C[C@H](C2)C3=O,-9.547,14
15,Cc1cc2nc(N(C)[C@]34C[C@H]5C[C@H](C[C@H](C5=O)C3)[C@@H]4C(=O)OCC(C)C)ccc2s1,Cc1cc2nc(N(C)[C@]34C[C@H]5C[C@H](C[C@@H](C3)C5=O)[C@@H]4C(=O)OCC(C)C)ccc2s1,Cc1cc2nc(N(C)[C@]34C[C@H]5C[C@H](C[C@@H](C3)C5=O)[C@@H]4C(=O)OCC(C)C)ccc2s1,-9.734,14
16,c1nc2nc(N(C)[C@]34C[C@H]5C[C@H](C[C@H](C5=O)C3)[C@@H]4C(=O)OCC)ccc2cc1,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(C)c1ccc4cccnc4n1)C[C@H](C2)C3=O,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(C)c1ccc4cccnc4n1)C[C@H](C2)C3=O,-9.83,14
17,COc1ccc2nc(N(C)[C@]34C[C@H]5C[C@H](C[C@H](C5=O)C3)[C@@H]4C(=O)OCC)ccc2n1,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(C)c1ccc4nc(OC)ccc4n1)C[C@H](C2)C3=O,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(C)c1ccc4nc(OC)ccc4n1)C[C@H](C2)C3=O,-9.7,14
18,[C@@H]12C[C@@H]3C[C@@H](C[C@@](Nc4nc5ccsc5cc4)([C@H]3C(O)=O)C1)C2=O,O=C1[C@@H]2C[C@@H]3C[C@H]1C[C@](Nc1ccc4sccc4n1)(C2)[C@H]3C(=O)[O-],O=C1[C@@H]2C[C@@H]3C[C@H]1C[C@](Nc1ccc4sccc4n1)(C2)[C@H]3C(=O)[O-],-9.586,66
19,[C@@H]12C[C@@H]3C[C@@H](C[C@@](Nc4nc5ccsc5cc4)([C@H]3C(O)=O)C1)C2=O,O=C1[C@@H]2C[C@@H]3C[C@H]1C[C@](N=c1ccc4sccc4[nH]1)(C2)[C@H]3C(=O)[O-],O=C1[C@@H]2C[C@@H]3C[C@H]1C[C@](/N=c1\ccc4sccc4[nH]1)(C2)[C@H]3C(=O)[O-],-10.312,28
20,[C@@H]12C[C@@H]3C[C@@H](C[C@@](Nc4nc5ccsc5cc4)([C@H]3C(O)=O)C1)C2=O,O=C1[C@@H]2C[C@@H]3C[C@H]1C[C@](N=c1ccc4sccc4[nH]1)(C2)[C@H]3C(=O)[O-],O=C1[C@@H]2C[C@@H]3C[C@H]1C[C@](/N=c1/ccc4sccc4[nH]1)(C2)[C@H]3C(=O)[O-],-9.698,28
21,[C@@H]12C[C@@H]3C[C@@H](C[C@@](Nc4nc5ccccc5cc4)([C@H]3C(O)=O)C1)C2=O,O=C1[C@@H]2C[C@@H]3C[C@H]1C[C@](Nc1ccc4ccccc4n1)(C2)[C@H]3C(=O)[O-],O=C1[C@@H]2C[C@@H]3C[C@H]1C[C@](Nc1ccc4ccccc4n1)(C2)[C@H]3C(=O)[O-],-10.556,66
22,[C@@H]12C[C@@H]3C[C@@H](C[C@@](Nc4nc5ccccc5cc4)([C@H]3C(O)=O)C1)C2=O,O=C1[C@@H]2C[C@@H]3C[C@H]1C[C@](N=c1ccc4ccccc4[nH]1)(C2)[C@H]3C(=O)[O-],O=C1[C@@H]2C[C@@H]3C[C@H]1C[C@](/N=c1\ccc4ccccc4[nH]1)(C2)[C@H]3C(=O)[O-],-11.332,28
23,[C@@H]12C[C@@H]3C[C@@H](C[C@@](Nc4nc5ccccc5cc4)([C@H]3C(O)=O)C1)C2=O,O=C1[C@@H]2C[C@@H]3C[C@H]1C[C@](N=c1ccc4ccccc4[nH]1)(C2)[C@H]3C(=O)[O-],O=C1[C@@H]2C[C@@H]3C[C@H]1C[C@](/N=c1/ccc4ccccc4[nH]1)(C2)[C@H]3C(=O)[O-],-10.888,28
24,[C@@H]12C[C@@H]3C[C@@H](C[C@@](Nc4nc5ccc(F)cc5cc4)([C@H]3C(OC)=O)C1)C2=O,COC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(Nc1ccc4cc(F)ccc4n1)C[C@H](C2)C3=O,COC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(Nc1ccc4cc(F)ccc4n1)C[C@H](C2)C3=O,-10.768,65
25,[C@@H]12C[C@@H]3C[C@@H](C[C@@](Nc4nc5ccc(F)cc5cc4)([C@H]3C(OC)=O)C1)C2=O,COC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N=c1ccc4cc(F)ccc4[nH]1)C[C@H](C2)C3=O,COC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(/N=c1\ccc4cc(F)ccc4[nH]1)C[C@H](C2)C3=O,-11.474,27
26,[C@@H]12C[C@@H]3C[C@@H](C[C@@](Nc4nc5ccc(F)cc5cc4)([C@H]3C(OC)=O)C1)C2=O,COC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N=c1ccc4cc(F)ccc4[nH]1)C[C@H](C2)C3=O,COC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(/N=c1/ccc4cc(F)ccc4[nH]1)C[C@H](C2)C3=O,-10.602,27
27,[C@@H]12C[C@@H]3C[C@@H](C[C@@](NS(=O)(c4ccc(C)cc4)=O)([C@H]3C(OCC)=O)C1)C2=O,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(NS(=O)(=O)c1ccc(C)cc1)C[C@H](C2)C3=O,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(NS(=O)(=O)c1ccc(C)cc1)C[C@H](C2)C3=O,-9.395,110
28,C([C@@H]1CC[C@H](O)CC1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(NC[C@H]3CC[C@@H](O)CC3)ccc-2n1,Nc1cc2[nH]c(NC[C@H]3CC[C@@H](O)CC3)ccc-2n1,-8.157,7
29,C([C@@H]1CC[C@H](O)CC1)Nc1[nH]c2cc(N)nc-2cc1,N=c1cc2[nH]c(NC[C@H]3CC[C@@H](O)CC3)ccc-2[nH]1,N=c1cc2[nH]c(NC[C@H]3CC[C@@H](O)CC3)ccc-2[nH]1,-8.05,26
30,C([C@@H]1CC[C@H](O)CC1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2nc(NC[C@H]3CC[C@@H](O)CC3)ccc2[nH]1,Nc1cc2nc(NC[C@H]3CC[C@@H](O)CC3)ccc2[nH]1,-7.933,6
31,C([C@@H]1CC[C@H](O)CC1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NC[C@H]3CC[C@@H](O)CC3)ccc2[nH]1,Nc1cc2[nH]/c(=N/C[C@H]3CC[C@@H](O)CC3)ccc2[nH]1,-8.144,5
32,C([C@@H]1CC[C@H](O)CC1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NC[C@H]3CC[C@@H](O)CC3)ccc2[nH]1,Nc1cc2[nH]/c(=N\C[C@H]3CC[C@@H](O)CC3)ccc2[nH]1,-8.232,5
33,C1CCCCC1Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(NC3CCCCC3)ccc-2n1,Nc1cc2[nH]c(NC3CCCCC3)ccc-2n1,-8.321,37
34,C1CCCCC1Nc1[nH]c2cc(N)nc-2cc1,N=c1cc2[nH]c(NC3CCCCC3)ccc-2[nH]1,N=c1cc2[nH]c(NC3CCCCC3)ccc-2[nH]1,-8.264,109
35,C1CCCCC1Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2nc(NC3CCCCC3)ccc2[nH]1,Nc1cc2nc(NC3CCCCC3)ccc2[nH]1,-8.153,108
36,C1CCCCC1Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NC3CCCCC3)ccc2[nH]1,Nc1cc2[nH]/c(=N/C3CCCCC3)ccc2[nH]1,-8.154,64
37,C1CCCCC1Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NC3CCCCC3)ccc2[nH]1,Nc1cc2[nH]/c(=N\C3CCCCC3)ccc2[nH]1,-8.293,64
38,C([C@H]1CCCCC1O)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(NC[C@H]3CCCCC3O)ccc-2n1,Nc1cc2[nH]c(NC[C@H]3CCCC[C@@H]3O)ccc-2n1,-8.113,7
39,C([C@H]1CCCCC1O)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(NC[C@H]3CCCCC3O)ccc-2n1,Nc1cc2[nH]c(NC[C@H]3CCCC[C@H]3O)ccc-2n1,-8.063,7
40,C([C@H]1CCCCC1O)Nc1[nH]c2cc(N)nc-2cc1,N=c1cc2[nH]c(NC[C@H]3CCCCC3O)ccc-2[nH]1,N=c1cc2[nH]c(NC[C@H]3CCCC[C@@H]3O)ccc-2[nH]1,-8.09,26
41,C([C@H]1CCCCC1O)Nc1[nH]c2cc(N)nc-2cc1,N=c1cc2[nH]c(NC[C@H]3CCCCC3O)ccc-2[nH]1,N=c1cc2[nH]c(NC[C@H]3CCCC[C@H]3O)ccc-2[nH]1,-8.098,26
42,C([C@H]1CCCCC1O)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2nc(NC[C@H]3CCCCC3O)ccc2[nH]1,Nc1cc2nc(NC[C@H]3CCCC[C@@H]3O)ccc2[nH]1,-7.645,6
43,C([C@H]1CCCCC1O)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2nc(NC[C@H]3CCCCC3O)ccc2[nH]1,Nc1cc2nc(NC[C@H]3CCCC[C@H]3O)ccc2[nH]1,-8.069,6
44,C([C@H]1CCCCC1O)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NC[C@H]3CCCCC3O)ccc2[nH]1,Nc1cc2[nH]/c(=N/C[C@H]3CCCC[C@@H]3O)ccc2[nH]1,-8.037,5
45,C([C@H]1CCCCC1O)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NC[C@H]3CCCCC3O)ccc2[nH]1,Nc1cc2[nH]/c(=N/C[C@H]3CCCC[C@H]3O)ccc2[nH]1,-8.52,5
46,C([C@H]1CCCCC1O)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NC[C@H]3CCCCC3O)ccc2[nH]1,Nc1cc2[nH]/c(=N\C[C@H]3CCCC[C@@H]3O)ccc2[nH]1,-8.23,5
47,C([C@H]1CCCCC1O)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NC[C@H]3CCCCC3O)ccc2[nH]1,Nc1cc2[nH]/c(=N\C[C@H]3CCCC[C@H]3O)ccc2[nH]1,-7.988,5
48,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(NCC3CCC[NH+](Cc4ccccc4)C3)ccc-2n1,Nc1cc2[nH]c(NC[C@@H]3CCC[N@H+](Cc4ccccc4)C3)ccc-2n1,-10.141,13
49,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(NCC3CCC[NH+](Cc4ccccc4)C3)ccc-2n1,Nc1cc2[nH]c(NC[C@H]3CCC[N@H+](Cc4ccccc4)C3)ccc-2n1,-10.247,13
50,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(NCC3CCC[NH+](Cc4ccccc4)C3)ccc-2n1,Nc1cc2[nH]c(NC[C@@H]3CCC[N@@H+](Cc4ccccc4)C3)ccc-2n1,-9.863,13
51,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(NCC3CCC[NH+](Cc4ccccc4)C3)ccc-2n1,Nc1cc2[nH]c(NC[C@H]3CCC[N@@H+](Cc4ccccc4)C3)ccc-2n1,-10.125,13
52,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,N=c1cc2[nH]c(NCC3CCC[NH+](Cc4ccccc4)C3)ccc-2[nH]1,N=c1cc2[nH]c(NC[C@@H]3CCC[N@H+](Cc4ccccc4)C3)ccc-2[nH]1,-10.076,13
53,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,N=c1cc2[nH]c(NCC3CCC[NH+](Cc4ccccc4)C3)ccc-2[nH]1,N=c1cc2[nH]c(NC[C@H]3CCC[N@H+](Cc4ccccc4)C3)ccc-2[nH]1,-10.263,13
54,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,N=c1cc2[nH]c(NCC3CCC[NH+](Cc4ccccc4)C3)ccc-2[nH]1,N=c1cc2[nH]c(NC[C@@H]3CCC[N@@H+](Cc4ccccc4)C3)ccc-2[nH]1,-9.946,13
55,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,N=c1cc2[nH]c(NCC3CCC[NH+](Cc4ccccc4)C3)ccc-2[nH]1,N=c1cc2[nH]c(NC[C@H]3CCC[N@@H+](Cc4ccccc4)C3)ccc-2[nH]1,-10.024,13
56,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2nc(NCC3CCC[NH+](Cc4ccccc4)C3)ccc2[nH]1,Nc1cc2nc(NC[C@@H]3CCC[N@H+](Cc4ccccc4)C3)ccc2[nH]1,-9.855,4
57,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2nc(NCC3CCC[NH+](Cc4ccccc4)C3)ccc2[nH]1,Nc1cc2nc(NC[C@H]3CCC[N@H+](Cc4ccccc4)C3)ccc2[nH]1,-9.877,4
58,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2nc(NCC3CCC[NH+](Cc4ccccc4)C3)ccc2[nH]1,Nc1cc2nc(NC[C@@H]3CCC[N@@H+](Cc4ccccc4)C3)ccc2[nH]1,-9.649,4
59,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2nc(NCC3CCC[NH+](Cc4ccccc4)C3)ccc2[nH]1,Nc1cc2nc(NC[C@H]3CCC[N@@H+](Cc4ccccc4)C3)ccc2[nH]1,-9.535,4
60,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NCC3CCC[NH+](Cc4ccccc4)C3)ccc2[nH]1,Nc1cc2[nH]/c(=N/C[C@@H]3CCC[N@H+](Cc4ccccc4)C3)ccc2[nH]1,-9.973,4
61,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NCC3CCC[NH+](Cc4ccccc4)C3)ccc2[nH]1,Nc1cc2[nH]/c(=N/C[C@H]3CCC[N@H+](Cc4ccccc4)C3)ccc2[nH]1,-9.608,4
62,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NCC3CCC[NH+](Cc4ccccc4)C3)ccc2[nH]1,Nc1cc2[nH]/c(=N/C[C@@H]3CCC[N@@H+](Cc4ccccc4)C3)ccc2[nH]1,-9.859,4
63,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NCC3CCC[NH+](Cc4ccccc4)C3)ccc2[nH]1,Nc1cc2[nH]/c(=N/C[C@H]3CCC[N@@H+](Cc4ccccc4)C3)ccc2[nH]1,-10.173,4
64,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NCC3CCC[NH+](Cc4ccccc4)C3)ccc2[nH]1,Nc1cc2[nH]/c(=N\C[C@@H]3CCC[N@H+](Cc4ccccc4)C3)ccc2[nH]1,-10.076,4
65,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NCC3CCC[NH+](Cc4ccccc4)C3)ccc2[nH]1,Nc1cc2[nH]/c(=N\C[C@H]3CCC[N@H+](Cc4ccccc4)C3)ccc2[nH]1,-9.693,4
66,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NCC3CCC[NH+](Cc4ccccc4)C3)ccc2[nH]1,Nc1cc2[nH]/c(=N\C[C@@H]3CCC[N@@H+](Cc4ccccc4)C3)ccc2[nH]1,-9.779,4
67,C(C1CCCN(Cc2ccccc2)C1)Nc1[nH]c2cc(N)nc-2cc1,Nc1cc2[nH]c(=NCC3CCC[NH+](Cc4ccccc4)C3)ccc2[nH]1,Nc1cc2[nH]/c(=N\C[C@H]3CCC[N@@H+](Cc4ccccc4)C3)ccc2[nH]1,-9.728,4
68,C([C@H]1CC[C@H](OC(NC(=O)NC(C)C)=O)CC1)Nc1[nH]c2cc(N)nc-2cc1,CC(C)NC(=O)NC(=O)O[C@H]1CC[C@H](CNc2ccc3nc(N)cc-3[nH]2)CC1,CC(C)NC(=O)NC(=O)O[C@H]1CC[C@H](CNc2ccc3nc(N)cc-3[nH]2)CC1,-9.469,7
69,C([C@H]1CC[C@H](OC(NC(=O)NC(C)C)=O)CC1)Nc1[nH]c2cc(N)nc-2cc1,CC(C)NC(=O)NC(=O)O[C@H]1CC[C@H](CNc2ccc3[nH]c(=N)cc-3[nH]2)CC1,CC(C)NC(=O)NC(=O)O[C@H]1CC[C@H](CNc2ccc3[nH]c(=N)cc-3[nH]2)CC1,-9.791,63
70,C([C@H]1CC[C@H](OC(NC(=O)NC(C)C)=O)CC1)Nc1[nH]c2cc(N)nc-2cc1,CC(C)NC(=O)NC(=O)O[C@H]1CC[C@H](CNc2ccc3[nH]c(N)cc3n2)CC1,CC(C)NC(=O)NC(=O)O[C@H]1CC[C@H](CNc2ccc3[nH]c(N)cc3n2)CC1,-9.29,6
71,C([C@H]1CC[C@H](OC(NC(=O)NC(C)C)=O)CC1)Nc1[nH]c2cc(N)nc-2cc1,CC(C)NC(=O)NC(=O)O[C@H]1CC[C@H](CN=c2ccc3[nH]c(N)cc3[nH]2)CC1,CC(C)NC(=O)NC(=O)O[C@H]1CC[C@H](C/N=c2\ccc3[nH]c(N)cc3[nH]2)CC1,-9.487,36
72,C([C@H]1CC[C@H](OC(NC(=O)NC(C)C)=O)CC1)Nc1[nH]c2cc(N)nc-2cc1,CC(C)NC(=O)NC(=O)O[C@H]1CC[C@H](CN=c2ccc3[nH]c(N)cc3[nH]2)CC1,CC(C)NC(=O)NC(=O)O[C@H]1CC[C@H](C/N=c2/ccc3[nH]c(N)cc3[nH]2)CC1,-9.281,36
73,C1CCN(c2cn(C)nc2)C1,Cn1cc(N2CCCC2)cn1,Cn1cc(N2CCCC2)cn1,-5.407,107
74,[C@H]12CC[C@@H](O)[C@@H]1Oc1sc3cc(N)nc-3cc12,Nc1cc2sc3c(cc-2n1)[C@H]1CC[C@@H](O)[C@@H]1O3,Nc1cc2sc3c(cc-2n1)[C@H]1CC[C@@H](O)[C@@H]1O3,-8.314,106
75,[C@H]12CC[C@@H](O)[C@@H]1Oc1sc3cc(N)nc-3cc12,N=c1cc2sc3c(cc-2[nH]1)[C@H]1CC[C@@H](O)[C@@H]1O3,N=c1cc2sc3c(cc-2[nH]1)[C@H]1CC[C@@H](O)[C@@H]1O3,-8.271,105
76,C(C1C(C)CN(C)CC(C)(O)C1)Nc1[nH]c2cc(N)nc-2cc1,CC1C[NH+](C)CC(C)(O)CC1CNc1ccc2nc(N)cc-2[nH]1,C[C@@H]1C[N@H+](C)C[C@](C)(O)C[C@@H]1CNc1ccc2nc(N)cc-2[nH]1,-6.422,1
77,C(C1C(C)CN(C)CC(C)(O)C1)Nc1[nH]c2cc(N)nc-2cc1,CC1C[NH+](C)CC(C)(O)CC1CNc1ccc2nc(N)cc-2[nH]1,C[C@H]1C[N@H+](C)C[C@](C)(O)C[C@@H]1CNc1ccc2nc(N)cc-2[nH]1,-6.285,1
78,C(C1C(C)CN(C)CC(C)(O)C1)Nc1[nH]c2cc(N)nc-2cc1,CC1C[NH+](C)CC(C)(O)CC1CNc1ccc2nc(N)cc-2[nH]1,C[C@@H]1C[N@@H+](C)C[C@](C)(O)C[C@@H]1CNc1ccc2nc(N)cc-2[nH]1,-6.514,1
79,C(C1C(C)CN(C)CC(C)(O)C1)Nc1[nH]c2cc(N)nc-2cc1,CC1C[NH+](C)CC(C)(O)CC1CNc1ccc2nc(N)cc-2[nH]1,C[C@H]1C[N@@H+](C)C[C@](C)(O)C[C@@H]1CNc1ccc2nc(N)cc-2[nH]1,-6.465,1
80,C(C1C(C)CN(C)CC(C)(O)C1)Nc1[nH]c2cc(N)nc-2cc1,CC1C[NH+](C)CC(C)(O)CC1CNc1ccc2nc(N)cc-2[nH]1,C[C@@H]1C[N@H+](C)C[C@@](C)(O)C[C@@H]1CNc1ccc2nc(N)cc-2[nH]1,-6.494,1
81,C(C1C(C)CN(C)CC(C)(O)C1)Nc1[nH]c2cc(N)nc-2cc1,CC1C[NH+](C)CC(C)(O)CC1CNc1ccc2nc(N)cc-2[nH]1,C[C@H]1C[N@H+](C)C[C@@](C)(O)C[C@@H]1CNc1ccc2nc(N)cc-2[nH]1,-6.635,1
